name,description,imagesJson
Conventional Deadlift,,
Romanian Deadlift,,
Straight-legged Deadlift,,
Sumo Deadlift,,
Trap Bar Deadlift,,
Back Squat,,
Front Squat,,
Box Squat,,
Sumo Squat,,
Overhead Squat,,
Split Squat,,
Smoth Squat,,
Bodyweight Squat,,
Jump Squat,,
Flat Barbell Bench Press,,
Incline Barbell Bench Press,,
Decline Barbell Bench Press,,
Flat Dumbbell Bench Press,,
Incline Dumbbell Bench Press,,
Decline Dumbbell Bench Press,,
Chest Fly,,
Dips,,
Pull-up,,
Pull-down,,
Chin-up,,
Muscle-up,,
Seated Row,,
Face Pull,,
Shoulder Shrug,,
Upright Row,,
Bent-over Row,,
Bridge,,
Front raise,,
lateral Raise,,
Military Press,,
Overhead Press,,
Biceps Curl,,
Wirst Curl,,
Crunch,,
Leg Raise,,
Sit-Up,,
Plank,,
Good-morning,,
Hyperextension,,
Leg Press,,
Lunge,,
Calf Raise,,
